Departure codeIataAirport,Departure Province/State,Departure Country/Region,Arrival Province/State,Arrival Country/Region
AAA,French Polynesia,France,South Australia,Australia
AAN,,United Arab Emirates,,India
AAN,,United Arab Emirates,,Pakistan
AAN,,United Arab Emirates,,Egypt
AAN,,United Arab Emirates,,Egypt
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Norway
AAR,,Denmark,,Norway
AAR,,Denmark,,Sweden
AAR,,Denmark,,Sweden
AAR,,Denmark,,Sweden
AAR,,Denmark,,Sweden
AAR,,Denmark,Channel Islands,United Kingdom
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Sweden
AAR,,Denmark,,Sweden
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Denmark
AAR,,Denmark,,Norway
AAR,,Denmark,,Germany
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Germany
AAL,,Denmark,Channel Islands,United Kingdom
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Spain
AAL,,Denmark,,Spain
AAL,,Denmark,,Spain
AAL,,Denmark,,Spain
AAL,,Denmark,,Spain
AAL,,Denmark,Channel Islands,United Kingdom
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Spain
AAL,,Denmark,,Spain
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,United Kingdom
AAL,,Denmark,,Denmark
AAL,,Denmark,,Norway
AAL,,Denmark,,Norway
AAL,,Denmark,,Norway
AAL,,Denmark,,Denmark
AAL,,Denmark,,Norway
AAL,,Denmark,,Denmark
AAL,,Denmark,Channel Islands,United Kingdom
AAL,,Denmark,Greenland,Denmark
AAL,,Denmark,,Austria
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
AAL,,Denmark,,Denmark
