codeIataAirport,codeIcaoAirport,Country/Region,Province/State
AAA,NTGA,France,French Polynesia
AAB,YARY,Australia,South Australia
AAC,HEAR,Egypt,
AAG,SSYA,Brazil,
AAH,EDKA,Germany,
AAI,SWRA,Brazil,
AAJ,,Suriname,
AAL,EKYT,Denmark,
AAM,FAMD,South Africa,
AAN,OMAL,United Arab Emirates,
AAO,,Venezuela,
AAQ,URKA,Russia,
AAR,EKAH,Denmark,
AAS,,Indonesia,
AAT,ZWAT,China,Xinjiang
AAV,,Philippines,
AAW,,Pakistan,
AAX,SBAX,Brazil,
AAY,OYGD,Yemen,
AAZ,MGQZ,Guatemala,
ABA,UNAA,Russia,
ABB,DNAS,Nigeria,
ABC,LEAB,Spain,
ABD,OIAA,Iran,
ABG,,Australia,Northern Territory
ABH,YAPH,Australia,Queensland
ABK,HADK,Ethiopia,
ABM,YBAM,Australia,Northern Territory
ABN,,Suriname,
ABP,,Papua New Guinea,
ABS,HEBL,Egypt,
ABT,OEBA,Saudi Arabia,
ABU,WATA,Indonesia,
ABV,DNAA,Nigeria,
ABW,,Papua New Guinea,
ABX,YMAY,Australia,Australian Capital Territory
ABZ,EGPD,United Kingdom,
ACA,MMAA,Mexico,
ACC,DGAA,Ghana,
ACD,SKAD,Colombia,
ACE,GCRR,Spain,
ACH,LSZR,Switzerland,
ACJ,VCCA,Sri Lanka,
ACL,,Colombia,
ACM,,Colombia,
ACN,MMCC,Mexico,
ACP,OITM,Iran,
ACR,SKAC,Colombia,
ACS,UNKS,Russia,
ACU,,Panama,
ACX,,China,Guizhou
ACZ,OIZB,Iran,
ADA,LTAF,Turkey,
ADB,LTBJ,Turkey,
ADC,,Papua New Guinea,
ADD,HAAB,Ethiopia,
ADE,OYAA,Yemen,
ADF,LTCP,Turkey,
ADH,UEEA,Russia,
ADI,FYAR,Namibia,
ADJ,OJAM,Jordan,
ADL,YPAD,Australia,South Australia
ADN,,Colombia,
ADO,YAMK,Australia,South Australia
ADP,,Sri Lanka,
ADU,OITL,Iran,
ADX,EGQL,United Kingdom,
ADY,FAAL,South Africa,
ADZ,SKSP,Colombia,
AEB,,China,Guangxi
AEE,,South Sudan,
AEG,WIME,Indonesia,
AEI,,Spain,
AEK,,Papua New Guinea,
AEO,GQNA,Mauritania,
AEP,SABE,Argentina,
AER,URSS,Russia,
AES,ENAL,Norway,
AEU,OIBA,Iran,
AEY,BIAR,Iceland,
AFA,SAMR,Argentina,
AFD,FAPA,South Africa,
AFI,SKAM,Colombia,
AFK,,Sri Lanka,
AFL,SBAT,Brazil,
AFR,,Papua New Guinea,
AFS,UTSN,Uzbekistan,
AFY,LTAH,Turkey,
AFZ,OIMS,Iran,
AGA,GMAD,Morocco,
AGB,EDMA,Germany,
AGD,,Indonesia,
AGE,,Germany,
AGF,LFBA,France,
AGG,,Papua New Guinea,
AGH,ESDB,Sweden,
AGI,SMWA,Suriname,
AGJ,RORA,Japan,
AGK,,Papua New Guinea,
AGL,AYWG,Papua New Guinea,
AGM,BGAM,Denmark,Greenland
AGP,LEMG,Spain,
AGR,VIAG,India,
AGT,SGES,Paraguay,
AGU,MMAS,Mexico,
AGV,SVAC,Venezuela,
AGW,,Australia,Northern Territory
AGX,VOAT,India,
AGZ,FAAG,South Africa,
AHA,,Japan,
AHB,OEAB,Saudi Arabia,
AHE,NTHE,France,French Polynesia
AHI,WAPA,Indonesia,
AHL,SYAH,Guyana,
AHO,LIEA,Italy,
AHS,MHAH,Honduras,
AHU,GMTA,Morocco,
AHW,,Oman,
AHY,,Madagascar,
AHZ,LFHU,France,
AIE,,Papua New Guinea,
AIF,SNAX,Brazil,
AIG,FEFY,Central African Republic,
AIH,,Papua New Guinea,
AIL,,Panama,
AIR,SWRP,Brazil,
AIW,,Namibia,
AJA,LFKJ,France,
AJF,OESK,Saudi Arabia,
AJI,LTCO,Turkey,
AJJ,GQNJ,Mauritania,
AJK,OIHR,Iran,
AJL,VEAZ,India,
AJR,ESNX,Sweden,
AJS,,Mexico,
AJU,SBAR,Brazil,
AJY,DRZA,Niger,
AKA,ZLAK,China,Shaanxi
AKD,VAAK,India,
AKE,,Gabon,
AKF,HLKF,Libya,
AKG,,Papua New Guinea,
AKH,OEPS,Saudi Arabia,
AKJ,RJEC,Japan,
AKL,NZAA,New Zealand,
AKQ,,Indonesia,
AKR,DNAK,Nigeria,
AKT,LCRA,Cyprus,
AKU,ZWAK,China,Xinjiang
AKV,CYKO,Canada,Quebec
AKW,,Iran,
AKX,UATT,Kazakhstan,
ALA,UAAA,Kazakhstan,
ALC,LEAL,Spain,
ALD,SPAR,Peru,
ALF,ENAT,Norway,
ALH,YABA,Australia,Western Australia
ALJ,FAAB,South Africa,
ALK,,Ethiopia,
ALL,LIMG,Italy,
ALP,OSAP,Syria,
ALQ,SSLT,Brazil,
ALR,NZLX,New Zealand,
ALT,,Brazil,
ALU,HCMA,Somalia,
ALY,HEAX,Egypt,
AMB,,Madagascar,
AMD,VAAH,India,
AME,,Mozambique,
AMF,,Papua New Guinea,
AMG,,Papua New Guinea,
AMH,HAAM,Ethiopia,
AMJ,SNAR,Brazil,
AMM,OJAI,Jordan,
AMP,FMSY,Madagascar,
AMQ,WAPP,Indonesia,
AMS,EHAM,Netherlands,
AMT,YAMT,Australia,South Australia
AMU,,Papua New Guinea,
AMV,ULDD,Russia,
AMX,YAMM,Australia,Northern Territory
AMY,,Madagascar,
AMZ,NZAR,New Zealand,
ANE,LFJR,France,
ANG,LFBU,France,
ANK,LTAD,Turkey,
ANL,,Angola,
ANM,FMNH,Madagascar,
ANO,,Mozambique,
ANR,EBAW,Belgium,
ANS,SPHY,Peru,
ANT,,Austria,
ANX,ENAN,Norway,
ANZ,,Australia,South Australia
AOB,,Papua New Guinea,
AOC,EDAC,Germany,
AOE,LTBY,Turkey,
AOG,ZYAS,China,Liaoning
AOI,LIPY,Italy,
AOJ,RJSA,Japan,
AOK,LGKP,Greece,
AOL,SARL,Argentina,
AOM,,Oman,
AON,,Papua New Guinea,
AOP,,Peru,
AOR,WMKA,Malaysia,
AOT,LIMW,Italy,
AOU,VLAP,Laos,
APB,SLAP,Bolivia,
APE,,Peru,
API,,Colombia,
APK,NTGD,France,French Polynesia
APL,FQNP,Mozambique,
APO,SKLC,Colombia,
APP,,Papua New Guinea,
APQ,SNAL,Brazil,
APR,,Papua New Guinea,
APS,SBAN,Brazil,
APU,SSAP,Brazil,
APX,SSOG,Brazil,
APY,,Brazil,
APZ,SAHZ,Argentina,
AQA,SBAQ,Brazil,
AQB,MGQC,Guatemala,
AQG,ZSAQ,China,Anhui
AQI,OEPA,Saudi Arabia,
AQJ,OJAQ,Jordan,
AQM,SWNI,Brazil,
AQP,SPQU,Peru,
ARD,WATM,Indonesia,
ARF,,Colombia,
ARH,ULAA,Russia,
ARJ,WAJA,Indonesia,
ARK,HTAR,Tanzania,
ARL,DFER,Burkina Faso,
ARM,YARM,Australia,Queensland
ARN,ESSA,Sweden,
ARO,,Colombia,
ARP,,Papua New Guinea,
ARQ,,Colombia,
ARR,SAVR,Argentina,
ARS,,Brazil,
ARU,SBAU,Brazil,
ARW,LRAR,Romania,
ARY,YARA,Australia,Victoria
ARZ,FNZE,Angola,
ASA,HHSB,Eritrea,
ASC,SLAS,Bolivia,
ASD,MYAF,Bahamas,
ASF,URWA,Russia,
ASG,NZAS,New Zealand,
ASJ,RJKA,Japan,
ASM,HHAS,Eritrea,
ASO,HASO,Ethiopia,
ASP,YBAS,Australia,Northern Territory
ASR,LTAU,Turkey,
ASU,SGAS,Paraguay,
ASV,HKAM,Kenya,
ASW,HESN,Egypt,
ASZ,,Papua New Guinea,
ATA,SPHZ,Peru,
ATB,HSAT,Sudan,
ATC,MYCA,Bahamas,
ATF,SEAM,Ecuador,
ATG,,Pakistan,
ATH,LGAV,Greece,
ATI,SUAG,Uruguay,
ATJ,FMME,Madagascar,
ATM,SBHT,Brazil,
ATN,,Papua New Guinea,
ATP,AYAI,Papua New Guinea,
ATQ,VIAR,India,
ATR,GQPA,Mauritania,
ATX,,Kazakhstan,
ATZ,HEAT,Egypt,
AUA,TNCA,Netherlands,Aruba
AUB,,Brazil,
AUC,SKUC,Colombia,
AUD,YAGD,Australia,Northern Territory
AUE,,Egypt,
AUF,LFLA,France,
AUH,OMAA,United Arab Emirates,
AUI,,Papua New Guinea,
AUJ,,Papua New Guinea,
AUP,,Papua New Guinea,
AUQ,NTMN,France,French Polynesia
AUR,LFLW,France,
AUT,WPAT,Indonesia,
AUU,YAUR,Australia,Northern Territory
AUV,,Papua New Guinea,
AUX,SWGN,Brazil,
AVA,ZUAS,China,Guizhou
AVB,LIPA,Italy,
AVG,YAUV,Australia,Northern Territory
AVI,MUCA,Cuba,
AVK,ZMAH,Mongolia,
AVN,LFMV,France,
AVV,YMAV,Australia,Victoria
AWA,HALA,Ethiopia,
AWB,,Papua New Guinea,
AWE,,Gabon,
AWN,,Australia,South Australia
AWP,YAUS,Australia,Northern Territory
AWZ,OIAW,Iran,
AXA,TQPF,United Kingdom,Anguilla
AXC,YAMC,Australia,Queensland
AXD,LGAL,Greece,
AXE,,Brazil,
AXK,ODAT,Yemen,
AXL,YALX,Australia,Northern Territory
AXM,SKAR,Colombia,
AXP,MYAP,Bahamas,
AXR,NTGU,France,French Polynesia
AXT,RJSK,Japan,
AXU,HAAX,Ethiopia,
AYA,,Colombia,
AYC,,Colombia,
AYD,,Australia,Northern Territory
AYG,SKYA,Colombia,
AYI,,Colombia,
AYK,UAUR,Kazakhstan,
AYL,,Australia,Northern Territory
AYN,ZHAY,China,Shanxi
AYO,,Paraguay,
AYP,SPHO,Peru,
AYQ,YAYE,Australia,South Australia
AYR,YAYR,Australia,Queensland
AYT,LTAI,Turkey,
AYU,AYAY,Papua New Guinea,
AYW,,Indonesia,
AYY,,Sri Lanka,
AZB,,Papua New Guinea,
AZD,OIYY,Iran,
AZG,,Mexico,
AZI,OMAD,United Arab Emirates,
AZL,,Brazil,
AZN,UTKA,Uzbekistan,
AZP,,Mexico,
AZS,MDZY,Dominican Republic,
AZT,,Colombia,
AZZ,FNAM,Angola,
BAA,,Papua New Guinea,
BAC,,Colombia,
BAE,LFMR,France,
BAG,RPUB,Philippines,
BAH,OBBI,Bahrain,
BAI,MRBA,Costa Rica,
BAJ,,Papua New Guinea,
BAL,LTCJ,Turkey,
BAO,,Thailand,
BAQ,SKBQ,Colombia,
BAT,SNBA,Brazil,
BAU,SBBU,Italy,
BAV,ZBOW,China,Shanxi
BAW,,Gabon,
BAX,UNBB,Russia,
BAY,LRBM,Romania,
BAZ,SWBC,Brazil,
BBH,EDBH,Germany,
BBI,VEBS,India,
BBJ,EDAB,Germany,
BBK,FBKE,Botswana,
BBM,VDBG,Cambodia,
BBN,WBGZ,Malaysia,
BBO,HCMI,Somalia,
BBP,EGHJ,United Kingdom,Channel Islands
BBR,,France,Guadeloupe
BBS,EGLK,United Kingdom,Channel Islands
BBT,FEFT,Central African Republic,
BBU,LRBS,Romania,
BBY,FEFM,Central African Republic,
BBZ,FLZB,Zambia,
BCA,MUBA,Cuba,
BCD,RPVB,Philippines,
BCF,FEGU,Central African Republic,
BCG,,Guyana,
BCI,YBAR,Australia,Queensland
BCK,,Australia,Queensland
BCL,MRBC,Costa Rica,
BCM,LRBC,Romania,
BCN,LEBL,Spain,
BCO,HABC,Ethiopia,
BCP,,Papua New Guinea,
BCQ,,Libya,
BCR,SWNK,Brazil,
BCU,,Nigeria,
BCV,,Belize,
BCW,,Mozambique,
BCX,UWUB,Russia,
BCY,,Ethiopia,
BCZ,,Australia,Northern Territory
BDA,TXKF,United Kingdom,Bermuda
