codeIataAirport,County,Province/State,Country/Region,LatAirport,LongAirport
AAA,,French Polynesia,France,-17.05,-145.41667
AAB,,South Australia,Australia,-26.7,141.04167
AAC,,,Egypt,31.133333,33.75
AAE,,,Algeria,36.821392,7.811857
AAF,Franklin,Florida,US,29.733334,-84.98333
AAG,,,Brazil,-24.103611,-49.79
AAH,,,Germany,50.75,6.133333
AAI,,,Brazil,-12.916667,-46.933334
AAJ,,,Suriname,3.9,-55.36667
AAL,,,Denmark,57.08655,9.872241
AAM,,,South Africa,-24.8,31.533333
AAN,,,United Arab Emirates,24.260231,55.616627
AAO,,,Venezuela,9.431944,-64.46389
AAQ,,,Russia,44.9,37.316666
AAR,,,Denmark,56.30823,10.626351
AAS,,,Indonesia,-3.916667,139.25
AAT,,Xinjiang,China,47.750362,88.08444
AAV,,,Philippines,6.333333,124.76667
AAW,,,Pakistan,34.2,73.25
AAX,,,Brazil,-19.568056,-46.92917
AAY,,,Yemen,16.19596,52.173256
AAZ,,,Guatemala,14.87,-91.5
ABA,,,Russia,53.716667,91.5
ABB,,,Nigeria,6.203333,6.65888
ABC,,,Spain,38.948334,-1.863333
ABD,,,Iran,30.363905,48.226597
ABE,Lehigh,Pennsylvania,US,40.651573,-75.434364
ABG,,Northern Territory,Australia,-17.666668,143.2
ABH,,Queensland,Australia,-23.65,146.63333
ABI,Taylor,Texas,US,32.409443,-99.679726
ABJ,,,Cote d'Ivoire,5.254879,-3.933015
ABK,,,Ethiopia,6.733889,44.26611
ABL,Northwest Arctic,Alaska,US,67.0875,-157.84584
ABM,,Northern Territory,Australia,-10.942619,142.45033
ABN,,,Suriname,5.5,-54.083332
ABO,,,Cote d'Ivoire,5.433333,-3.216667
ABP,,,Papua New Guinea,-6.066667,141.1
ABQ,Bernalillo,New Mexico,US,35.049625,-106.617195
ABR,Brown,South Dakota,US,45.4525,-98.42611
ABS,,,Egypt,22.367567,31.609774
ABT,,,Saudi Arabia,20.29401,41.64002
ABU,,,Indonesia,-9.133333,124.88333
ABV,,,Nigeria,9.004614,7.270447
ABW,,,Papua New Guinea,-10.183333,148.7
ABX,,Australian Capital Territory,Australia,-36.069626,146.95453
ABY,Dougherty,Georgia,US,31.532223,-84.19611
ABZ,,,United Kingdom,57.200253,-2.204186
ACA,,,Mexico,16.762403,-99.75459
ACB,Antrim,Michigan,US,44.983334,-85.21667
ACC,,,Ghana,5.60737,-0.171769
ACD,,,Colombia,8.516667,-77.3
ACE,,,Spain,28.950668,-13.609059
ACH,,,Switzerland,47.483334,9.566667
ACJ,,,Sri Lanka,8.35,80.38333
ACK,Nantucket,Massachusetts,US,41.256668,-70.05972
ACL,,,Colombia,4.75,-73.0
ACM,,,Colombia,-2.0,-71.833336
ACN,,,Mexico,29.3,-100.916664
ACP,,,Iran,37.347244,46.145115
ACR,,,Colombia,-0.383333,-72.3
ACS,,,Russia,56.266666,90.566666
ACT,McLennan,Texas,US,31.609133,-97.22321
ACU,,,Panama,9.576389,-79.72444
ACV,Humboldt,California,US,40.970913,-124.106926
ACX,,Guizhou,China,25.085556,104.95944
ACY,Atlantic,New Jersey,US,39.450703,-74.572235
ACZ,,,Iran,31.087694,61.542244
ADA,,,Turkey,36.98503,35.29736
ADB,,,Turkey,38.294403,27.147594
ADC,,,Papua New Guinea,-7.133333,145.73334
ADD,,,Ethiopia,8.983759,38.7959
ADE,,,Yemen,12.826116,45.037537
ADF,,,Turkey,37.75,38.266666
ADG,Lenawee,Michigan,US,41.9,-84.03333
ADH,,,Russia,58.6,125.4
ADJ,,,Jordan,31.97533,35.98277
ADK,Aleutians East,Alaska,US,51.88278,-176.64473
ADL,,South Australia,Australia,-34.938175,138.53735
ADM,Murray,Oklahoma,US,34.303055,-97.01945
ADN,,,Colombia,5.666667,-75.933334
ADO,,South Australia,Australia,-31.016666,137.15
ADP,,,Sri Lanka,7.336389,81.625275
ADQ,Kodiak Island,Alaska,US,57.755276,-152.51297
